Year,Age Group, Total ('000) , Male ('000) , Female ('000) 
1970, 0 - 4,1702.4,869.3,833.1
1970, 5 - 9,1690.3,863.7,826.6
1970, 10 - 14,1454.7,740.1,714.6
1970, 15 - 19,1197.6,597.8,599.8
1970, 20 - 24,921.6,460.4,461.2
1970, 25 - 29,692.5,347.9,344.6
1970, 30 - 34,659.1,333.3,325.8
1970, 35 - 39,521.7,258.8,262.9
1970, 40 - 44,457.8,231.2,226.6
1970, 45 - 49,382.1,190.8,191.4
1970, 50 - 54,336.7,171.5,165.2
1970, 55 - 59,273.7,144.3,129.4
1970, 60 - 64,234.7,123.2,111.5
1970, 65 - 69,145.8,80,65.7
1970, 70+,211.1,104.8,106.3
1971, 0 - 4,1725.9,881.6,844.2
1971, 5 - 9,1689.8,861.5,828.3
1971, 10 - 14,1491.3,757,734.4
1971, 15 - 19,1238.7,619.6,619.1
1971, 20 - 24,970.7,485.3,485.4
1971, 25 - 29,734.2,369.2,365
1971, 30 - 34,666.2,337,329.2
1971, 35 - 39,545.4,271.8,273.6
1971, 40 - 44,468.5,235.8,232.8
1971, 45 - 49,393.8,197,196.8
1971, 50 - 54,342.1,173.3,168.9
1971, 55 - 59,280.6,146.4,134.2
1971, 60 - 64,236.1,123.7,112.4
1971, 65 - 69,155.1,84.1,71.1
1971, 70+,221.2,110,111.2
1972, 0 - 4,1758,898.2,859.8
1972, 5 - 9,1688.4,859.7,828.7
1972, 10 - 14,1528.7,774.2,754.5
1972, 15 - 19,1279.5,640.9,638.6
1972, 20 - 24,1019.3,509.5,509.8
1972, 25 - 29,777.5,391.4,386.1
1972, 30 - 34,673,340.6,332.4
1972, 35 - 39,570.3,285.6,284.7
1972, 40 - 44,478.8,240.1,238.7
1972, 45 - 49,405.9,203.4,202.5
1972, 50 - 54,347.2,174.9,172.3
1972, 55 - 59,287.9,148.8,139.1
1972, 60 - 64,237.4,124.1,113.3
1972, 65 - 69,164.8,88.1,76.7
1972, 70+,224.5,111.9,112.6
1973, 0 - 4,1786.9,913.1,873.8
1973, 5 - 9,1686.2,858.3,827.9
1973, 10 - 14,1564.4,790.8,773.7
1973, 15 - 19,1319.9,661.2,658.7
1973, 20 - 24,1066.1,532.3,533.9
1973, 25 - 29,822.2,414.3,408
1973, 30 - 34,679.3,344.1,335.2
1973, 35 - 39,596.2,300.1,296.1
1973, 40 - 44,488.3,244.2,244.1
1973, 45 - 49,418.4,210.1,208.3
1973, 50 - 54,351.7,176.3,175.4
1973, 55 - 59,295.5,151.2,144.3
1973, 60 - 64,238.3,124.2,114.1
1973, 65 - 69,174.7,92.2,82.5
1973, 70+,231.6,115.6,116
1974, 0 - 4,1816.2,928.1,888.1
1974, 5 - 9,1686.4,859.1,827.3
1974, 10 - 14,1597.8,806.6,791.2
1974, 15 - 19,1361.1,681,680.1
1974, 20 - 24,1110.9,553.5,557.4
1974, 25 - 29,868.8,438.1,430.7
1974, 30 - 34,685.7,347.8,337.9
1974, 35 - 39,623.4,315.5,307.9
1974, 40 - 44,497.1,248,249.1
1974, 45 - 49,431.5,217.1,214.4
1974, 50 - 54,355.7,177.6,178.1
1974, 55 - 59,303.6,153.9,149.7
1974, 60 - 64,239.1,124.3,114.9
1974, 65 - 69,185.1,96.3,88.8
1974, 70+,238.9,119.4,119.5
1975, 0 - 4,1846.3,943.4,902.9
1975, 5 - 9,1693.9,864.4,829.5
1975, 10 - 14,1630.3,822.6,807.7
1975, 15 - 19,1403.7,700.4,703.3
1975, 20 - 24,1154.9,573.7,581.1
1975, 25 - 29,918.5,463.5,455
1975, 30 - 34,692.9,352,340.9
1975, 35 - 39,652.9,332.2,320.6
1975, 40 - 44,505.8,251.8,254
1975, 45 - 49,445.9,224.8,221.1
1975, 50 - 54,359.8,178.9,180.8
1975, 55 - 59,312.3,156.8,155.5
1975, 60 - 64,240.1,124.3,115.8
1975, 65 - 69,196.4,100.8,95.6
1975, 70+,246.5,123.3,123.2
1976, 0 - 4,1871.2,956.8,914.4
1976, 5 - 9,1723.1,879.8,843.4
1976, 10 - 14,1634.7,824.8,809.9
1976, 15 - 19,1438.5,716.5,722.1
1976, 20 - 24,1193,592.1,601
1976, 25 - 29,959.8,483.3,476.5
1976, 30 - 34,733.2,372.7,360.4
1976, 35 - 39,660,336.2,323.8
1976, 40 - 44,529.9,265.1,264.8
1976, 45 - 49,454.5,228.4,226.1
1976, 50 - 54,371.6,185.1,186.6
1976, 55 - 59,316.2,158,158.3
1976, 60 - 64,246.4,126.1,120.3
1976, 65 - 69,196.5,100.6,96
1976, 70+,259.2,129,130.2
1977, 0 - 4,1901.2,972.4,928.7
1977, 5 - 9,1756.6,897,859.6
1977, 10 - 14,1644.5,830.9,813.6
1977, 15 - 19,1476.3,734.2,742.1
1977, 20 - 24,1233.4,610.8,622.6
1977, 25 - 29,1001.7,502.8,498.8
1977, 30 - 34,776.4,394.9,381.5
1977, 35 - 39,668.5,341,327.5
1977, 40 - 44,556.6,279.9,276.8
1977, 45 - 49,463.6,232.2,231.3
1977, 50 - 54,385,192,193
1977, 55 - 59,320.6,159.4,161.2
1977, 60 - 64,253.8,128.5,125.3
1977, 65 - 69,197.1,100.5,96.6
1977, 70+,265.9,131.8,134.1
1978, 0 - 4,1919.9,982.5,937.3
1978, 5 - 9,1788.8,913.5,875.3
1978, 10 - 14,1656.4,839.1,817.3
1978, 15 - 19,1510.8,750.9,759.9
1978, 20 - 24,1272.2,627.9,644.3
1978, 25 - 29,1040.7,520.2,520.5
1978, 30 - 34,820.9,417.8,403.1
1978, 35 - 39,676.3,345.6,330.8
1978, 40 - 44,584.2,295.4,288.8
1978, 45 - 49,471.7,235.7,236
1978, 50 - 54,398.7,199.1,199.6
1978, 55 - 59,324.3,160.6,163.7
1978, 60 - 64,261.4,130.9,130.5
1978, 65 - 69,197.4,100.2,97.2
1978, 70+,276.5,136.4,140.2
1979, 0 - 4,1935.7,991.5,944.2
1979, 5 - 9,1823.4,931.1,892.3
1979, 10 - 14,1676.6,852.2,824.4
1979, 15 - 19,1544.3,767.6,776.7
1979, 20 - 24,1313.1,644.8,668.3
